run_id	state	mode	checkpoint	text_encoder	width	height	frames	fps	steps	sampler	scheduler	conditioning_s	offload_s	load_stage_s	vram_before_sampler_gib	sampling_s	seconds_per_step	decode_s	wall_s	peak_vram_gib	notes
h3-a	cold_prompt_a	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	2.79	0	5.58		25.57	1.279	5.51	42.88	26.21	cold encoder+DiT loader spans total 5.58 s
h3-b	warm_changed_prompt_b	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	2.57	0	0		25.30	1.265	5.50	34.46	26.32	Qwen resident before sampler
h3-c	warm_cached_prompt_new_seed	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	0	0	0	1.70	22.41	1.120	5.38	28.84		conditioning skipped; Qwen not staged
h3-d	warm_changed_prompt_c_new_seed	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	2.55	0	0		25.15	1.257	5.36	34.02	26.32	changed-prompt discriminator
h3-e1	cached_conditioning	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	0	0	0	1.70	22.51	1.125		28.89		46 identical token IDs vs E2; Qwen absent
h3-e2	forced_reencode	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	2.82	0	0	26.45	26.64	1.332		50.55		46 identical token IDs vs E1; Qwen resident
h3-offload-a	qwen_resident_control	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	3.05	0	0	26.18	29.51	1.476	5.78	44.95	26.18	paired offload A/B control
h3-offload-b	explicit_qwen_offload	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	2.83	4.03	0	7.19	22.15	1.108	5.30	41.30	21.41	unload_model_and_clones before sampler
h3-prod-offload	production_sanity	T2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	13.18	4.0		7.19	22.42	1.121	5.39	44.91	21.41	conditioning field includes initial cold staging + tokenization + offload
h3-i2v	mode_matrix	I2V	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	12.59	0	0		27.33	1.367	5.44	46.33	26.69	first_frame example.png; prep includes VAE + Qwen vision
h3-r2v	mode_matrix	R2V	minimax_h3_ref2va_pruned_fp8_scaled.safetensors	qwen3vl_32b_minimax_h3_fp8.safetensors	608	352	39	24	20	res_multistep	simple	9.66	0	2.11		29.98	1.499	5.46	48.17	26.69	image reference; wall includes FL2VA->Ref2VA swap; warm without swap 46.06 s
