run_id	date	phase	quantization	weights_bytes	context_tokens	kv_cache	kv_location	spec_type	spec_draft_n_max	spec_draft_p_min	models_max	bucket	prompt_tokens	prefill_tokens_per_second	decode_tokens_per_second	draft_acceptance	samples	decode_stdev	r9700_vram_bytes	status	notes
qwen38-q4-163k-short	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	short	153	374.6	48.09	0.622	1	unknown	29783576576	passed	Single generation, 256 max tokens
qwen38-q4-163k-medium	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	medium	1175	702.5	49.39	0.661	1	unknown	29783576576	passed	Single generation, 256 max tokens
qwen38-q4-163k-long	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	long	6236	806.7	49.24	0.689	1	unknown	29783576576	passed	Single generation, 256 max tokens
qwen38-q4-163k-verylong	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	very_long	25868	742.0	46.63	0.703	1	unknown	29783576576	passed	Single generation, 256 max tokens
qwen38-q4-163k-vision	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	vision	84	unknown	53.53	unknown	1	unknown	29783576576	passed	256x256 PNG via F16 mmproj; prefill not comparable
qwen38-q4-163k-mean10	2026-08-16	validation	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU	draft-mtp	2	0.3	1	medium	1175	705.99	51.30	0.716	10	1.48	29783576576	selected	Ten cache-busted generations; prefill stdev 1.98
qwen38-q6-64k-short	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	short	153	372.3	38.74	0.684	1	unknown	30409224192	passed	Single generation, 256 max tokens
qwen38-q6-64k-medium	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	medium	1175	699.5	39.34	0.701	1	unknown	30409224192	passed	Single generation, 256 max tokens
qwen38-q6-64k-long	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	long	6236	797.8	38.21	0.689	1	unknown	30409224192	passed	Single generation, 256 max tokens
qwen38-q6-64k-verylong	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	very_long	25868	735.1	39.36	0.775	1	unknown	30409224192	passed	Single generation, 256 max tokens
qwen38-q6-64k-vision	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	vision	84	unknown	37.66	unknown	1	unknown	30409224192	passed	256x256 PNG via F16 mmproj; prefill not comparable
qwen38-q6-64k-mean10-run1	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	medium	1175	699.62	39.07	0.704	10	1.19	30409224192	passed	First cold-load run; prefill stdev 1.90
qwen38-q6-64k-mean10-run2	2026-08-16	validation	UD-Q6_K_XL	25924152384	65536	f16/f16	GPU	draft-mtp	2	0.3	1	medium	1175	700.05	39.08	0.704	10	1.18	30409224192	selected	Independent cold-load repeat; prefill stdev 1.21
qwen38-q4-163k-overcommit	2026-08-16	invalid	UD-Q4_K_XL	17923394624	163840	f16/f16	GPU+host_spill	draft-mtp	2	0.3	4	medium	1175	69.1	3.85	0.697	1	unknown	34003943424	invalid	Router held Q6 and Q4 resident at models_max=4; weights spilled to host RAM
