run_id	date	stage	backend	quantization	ctx_size	ubatch_size	spec_draft_n_max	spec_draft_p_min	samples	decode_mean	decode_sd	decode_sem	prefill_mean	prefill_sd	drafted	accepted	verif_steps	acceptance	mean_accepted_len	pos0	pos1	pos2	pos3	pos4	pos5	pos6	pos7	status	notes
sweep-baseline-01	2026-08-16	baseline	vulkan	UD-Q4_K_XL	163840	512	2	0.3	10	51.35	2.03	0.64	716.4	4.4	2087	1475	1053	0.7068	2.4008	0.8101	0.5907	unknown	unknown	unknown	unknown	unknown	unknown	ok	control point repeated in each stage
sweep-ubatch-02	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	128	2	0.3	10	50.06	1.80	0.57	639.2	1.8	2128	1456	1076	0.6842	2.3532	0.7872	0.5660	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-ubatch-03	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	192	2	0.3	10	50.56	1.42	0.45	521.9	1.3	2103	1464	1061	0.6961	2.3798	0.8049	0.5749	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-ubatch-04	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	256	2	0.3	10	51.07	1.70	0.54	628.9	0.9	2087	1476	1053	0.7072	2.4017	0.8053	0.5964	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-ubatch-05	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	288	2	0.3	10	51.29	1.95	0.62	574.6	0.5	2074	1480	1047	0.7136	2.4136	0.8080	0.6055	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-ubatch-06	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	384	2	0.3	10	51.15	1.29	0.41	706.2	1.1	2084	1480	1051	0.7102	2.4082	0.8069	0.6013	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-ubatch-07	2026-08-16	ubatch	vulkan	UD-Q4_K_XL	163840	512	2	0.3	10	50.87	2.00	0.63	704.5	1.5	2087	1475	1053	0.7068	2.4008	0.8101	0.5907	unknown	unknown	unknown	unknown	unknown	unknown	ok	control point repeated in each stage
sweep-nmax-08	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	1	0.3	10	44.46	0.98	0.31	705.8	9.8	1394	1130	1394	0.8106	1.8106	0.8106	unknown	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-nmax-09	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	2	0.3	10	50.80	2.01	0.64	704.1	1.3	2087	1475	1053	0.7068	2.4008	0.8101	0.5907	unknown	unknown	unknown	unknown	unknown	unknown	ok	control point repeated in each stage
sweep-nmax-10	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	3	0.3	10	48.39	2.69	0.85	704.1	1.5	2687	1607	914	0.5981	2.7582	0.7921	0.5766	0.3895	unknown	unknown	unknown	unknown	unknown	ok	
sweep-nmax-11	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	4	0.3	10	45.64	1.85	0.59	703.7	0.9	3211	1700	836	0.5294	3.0335	0.7859	0.5837	0.3935	0.2703	unknown	unknown	unknown	unknown	ok	
sweep-nmax-12	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	5	0.3	10	40.06	1.71	0.54	703.9	0.6	3868	1710	818	0.4421	3.0905	0.7653	0.5440	0.3594	0.2384	0.1834	unknown	unknown	unknown	ok	
sweep-nmax-13	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	6	0.3	10	37.36	1.99	0.63	703.1	1.6	4424	1745	787	0.3944	3.2173	0.7726	0.5248	0.3494	0.2414	0.1804	0.1487	unknown	unknown	ok	
sweep-nmax-14	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	7	0.3	10	33.22	2.17	0.68	699.9	1.4	5023	1736	794	0.3456	3.1864	0.7544	0.5164	0.3275	0.2254	0.1599	0.1159	0.0869	unknown	ok	
sweep-nmax-15	2026-08-16	nmax	vulkan	UD-Q4_K_XL	163840	512	8	0.3	10	28.41	1.81	0.57	699.6	1.3	5764	1699	835	0.2948	3.0347	0.7401	0.4671	0.2802	0.1952	0.1269	0.0970	0.0707	0.0575	ok	
sweep-pmin-16	2026-08-16	pmin	vulkan	UD-Q4_K_XL	163840	512	2	0	10	50.84	2.02	0.64	706.6	1.5	2137	1477	1071	0.6912	2.3791	0.7974	0.5817	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-pmin-17	2026-08-16	pmin	vulkan	UD-Q4_K_XL	163840	512	2	0.2	10	50.73	1.99	0.63	703.6	1.8	2135	1477	1070	0.6918	2.3804	0.7981	0.5822	unknown	unknown	unknown	unknown	unknown	unknown	ok	
sweep-pmin-18	2026-08-16	pmin	vulkan	UD-Q4_K_XL	163840	512	2	0.3	10	50.74	2.00	0.63	703.7	1.6	2087	1475	1053	0.7068	2.4008	0.8101	0.5907	unknown	unknown	unknown	unknown	unknown	unknown	ok	control point repeated in each stage
sweep-pmin-19	2026-08-16	pmin	vulkan	UD-Q4_K_XL	163840	512	2	0.4	10	50.29	1.81	0.57	700.9	11.2	2014	1459	1038	0.7244	2.4056	0.8208	0.5848	unknown	unknown	unknown	unknown	unknown	unknown	ok	
