role	model_repository	revision	filename	sha256	quantization	local_status
diffusion	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	minimax_h3_fl2va_pruned_fp8_scaled.safetensors	12944c1f7791637e7de12208aef04da82bd26b95271b1b47d817364315ade993	FP8 scaled	installed and verified in local source record
text-encoder	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	qwen3vl_32b_minimax_h3_nvfp4_awq.safetensors	35a88d51044231fe332301d7a62aa81e3f2cba62febeb446e2c1e3e0ef76f2c6	NVFP4/AWQ	installed and verified in local source record
video-vae	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	minimax_h3_video_vae_fp16.safetensors	7c1f131492e7eddacaac9069a61b81bdd39de5cc96561e677c5eab1cdce5e522	FP16	installed and verified in local source record
audio-vae	https://huggingface.co/Comfy-Org/MiniMax-H3	014cd40f7e177756c6b2473c0d93b1c89a790dd2	minimax_h3_audio_vae_fp32.safetensors	8e505d95dd1561d47abd43d4238fd40d9bb1ae9e147ed0a4cba778d76ae4db48	FP32	installed and verified in local source record
adapter	https://huggingface.co/larryvrh/MiniMax-H3-Turbo-Lora	43a74557ac3f6539db8e0f2a959d03feb7a81480	minimax_h3_turbo_v4_step600_ema.safetensors	5f3a626cd72c93a8b9318d6760c510bc5092d2ab13aaba1f932c5bab07a416d3	Turbo v4 EMA	installed and verified in local source record
diffusion	https://huggingface.co/Lightricks/LTX-2.5	unknown	ltx-2.5-22b-distilled-transformer-comfy-int8-convrot.safetensors	unknown	INT8 convrot distilled	used by local source record; hash unknown
text-encoder	https://huggingface.co/Lightricks/LTX-2.5	unknown	gemma4-12b-with-proj-ltx-2.5-comfy-int8-convrot.safetensors	unknown	INT8 convrot	used by local source record; hash unknown
video-vae	https://huggingface.co/Lightricks/LTX-2.5	unknown	ltx-2.5-video-vae-bf16.safetensors	unknown	BF16	used by local source record; hash unknown
audio-vae	https://huggingface.co/Lightricks/LTX-2.5	unknown	ltx-2.5-audio-vae-bf16.safetensors	unknown	BF16	used by local source record; hash unknown
spatial-upscaler	https://huggingface.co/Lightricks/LTX-2.5	unknown	ltx-2.5-latent-spatial-upscaler-x2-bf16-1.0.safetensors	unknown	BF16	used by local source record; hash unknown
