run_id,timestamp,service,topology,gpu_mapping,workflow_sha256,resolution,frames,reference_type,ref_image_size,turbo_lora,sampler,steps,attention_configured,smart_memory,result,wall_seconds,sampler_seconds,r9700_entry_allocated,r9700_entry_reserved,r9700_peak_allocated,r9700_peak_reserved,r9700_driver_entry_used,r9700_rocm_peak_used,rx7900_entry_allocated,rx7900_entry_reserved,rx7900_peak_allocated,rx7900_peak_reserved,rx7900_driver_entry_used,rx7900_rocm_peak_used,oom_requested,oom_free,oom_allocated,output_sanity,notes
S1-match-turbo-960x544-124f-cold,2026-08-29T21:07:08Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",cba7438e276bdaae5dcc7e76cd9be5bb998f62ff673d938be92b56a3d2e66675,960x544,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,168.124,95.118,21703530496,21846032384,24828629504,26960986112,22546481152,28692725760,,,,,,2024820736,,,,history_output_present expected=960x544/124f,prompt_id=2dfc1322-4096-4903-901d-81df68e89789; fixed image/prompt; distinct seed per repetition
S1-match-turbo-960x544-124f-warm1,2026-08-29T21:09:08Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",0be2451daf38c8af0bf6f646a49f0c31424a5bfa48a448031c6709dda1df97af,960x544,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,120.098,95.663,21700532224,21825060864,24825614848,26937917440,22556966912,27813138432,,,,,,1686552576,,,,history_output_present expected=960x544/124f,prompt_id=21f4214e-b5f9-4aab-86fa-2460e2214009; fixed image/prompt; distinct seed per repetition
S1-match-turbo-960x544-124f-warm2,2026-08-29T21:11:08Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",b50354920974a1675de420c4beecde959654a96989b9fdeef07bf7ee51f16ec5,960x544,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,120.100,95.753,21700532224,21825060864,24825614848,26937917440,22556966912,27839680512,,,,,,1686855680,,,,history_output_present expected=960x544/124f,prompt_id=4ce619a3-df40-473f-8963-7dd70b75b8e3; fixed image/prompt; distinct seed per repetition
S1-match-turbo-960x544-124f-warm3,2026-08-29T21:13:08Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",6f2cc8d68a031b7ac20b706cfb22289169ab20bb109868dd677750bb72cbbdc5,960x544,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,120.099,95.829,21700532224,21825060864,24825614848,26937917440,22556966912,27867324416,,,,,,1686802432,,,,history_output_present expected=960x544/124f,prompt_id=e67ed1d9-85c6-4325-9638-a7897b0d5ddb; fixed image/prompt; distinct seed per repetition
S2-match-lora-removed-960x544-124f-cold,2026-08-29T21:15:54Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",139797eb4ebb09051cf56a9da308d39ed6e36c7adf6ad92d52825f36ddfb8c80,960x544,124,image,match,off_removed_branch,MiniMaxH3TurboSampler,5,auto,disabled,PASS,164.122,91.600,21236979712,21315452928,23697307136,24933040128,22047358976,28765728768,,,,,,1685909504,,,,history_output_present expected=960x544/124f,prompt_id=9c63f606-a2ed-49b2-9264-63bc84ea89b1; fixed image/prompt; distinct seed per repetition
S2-match-lora-removed-960x544-124f-warm1,2026-08-29T21:17:50Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",57e457c41987ce4cb538cdc2ca4e17475984e99eb3814c7c7ff2600c24bbaf66,960x544,124,image,match,off_removed_branch,MiniMaxH3TurboSampler,5,auto,disabled,PASS,116.097,91.792,21236979712,21315452928,23697307136,24933040128,22047358976,25761165312,,,,,,1688010752,,,,history_output_present expected=960x544/124f,prompt_id=ae4d9b70-b7ff-451d-b71a-cdd527e513ea; fixed image/prompt; distinct seed per repetition
S2-match-lora-removed-960x544-124f-warm2,2026-08-29T21:19:46Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",0f6d2c9091ef5f921dddfe320e3d6e949bd25193d4d7bf06e9512dfc1c4036f7,960x544,124,image,match,off_removed_branch,MiniMaxH3TurboSampler,5,auto,disabled,PASS,116.098,91.800,21236979712,21315452928,23697307136,24933040128,22047358976,25763598336,,,,,,1683779584,,,,history_output_present expected=960x544/124f,prompt_id=064dc46b-908b-46cc-b2a9-af5c8c395bd3; fixed image/prompt; distinct seed per repetition
S2-match-lora-removed-960x544-124f-warm3,2026-08-29T21:21:42Z,comfyui-h3 :8190,single,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}]",d50b994dcdad9ccebb78beb5d5dc72bfe7d7b816479acf1e1bf5643cd3907721,960x544,124,image,match,off_removed_branch,MiniMaxH3TurboSampler,5,auto,disabled,PASS,116.101,91.875,21236979712,21315452928,23697307136,24933040128,22047358976,25763160064,,,,,,1687998464,,,,history_output_present expected=960x544/124f,prompt_id=65b61559-8707-4774-affb-a15fbf754535; fixed image/prompt; distinct seed per repetition
D1-matched-864x480-124f-cold,2026-08-29T21:48:24Z,matched dual :8192,matched-dual,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}, {""index"": 1, ""name"": ""Radeon RX 7900 XT"", ""arch"": ""gfx1100""}]",eda1c085a61b6e22a326e0c8d23fac2a5560a663834f7d0439f4abb11c0bebbd,864x480,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,112.101,65.802,21608272896,21732786176,24180983296,25916604416,22210936832,26618732544,17946490880,17968398336,17946490880,17968398336,18519621632,20514521088,,,,history_output_present expected=864x480/124f,prompt_id=5e9437e8-7148-44fd-aa27-0072f5d2aad2; fixed image/prompt; distinct seed per repetition
D1-matched-864x480-124f-warm1,2026-08-29T21:49:54Z,matched dual :8192,matched-dual,"[{""index"": 0, ""name"": ""AMD Radeon AI PRO R9700"", ""arch"": ""gfx1201""}, {""index"": 1, ""name"": ""Radeon RX 7900 XT"", ""arch"": ""gfx1100""}]",ed36526e265d272418f79cd9a1514736194d55478923f5a8e248cb3fd66379f5,864x480,124,image,match,on,MiniMaxH3TurboSampler,5,auto,disabled,PASS,90.097,66.070,21684966400,21791506432,24177968640,25893535744,22477275136,26674720768,377487360,377487360,377487360,377487360,928710656,2060611584,,,,history_output_present expected=864x480/124f,prompt_id=c9d7d3a1-96f5-4a80-8c99-aa42192a77a0; fixed image/prompt; distinct seed per repetition
