arm	rep	rc	wall_s
mixed-serial	warmup1	0	13.306
mixed-serial	rep1	0	13.495
mixed-serial	rep2	0	13.518
mixed-serial	rep3	0	13.580
mixed-serial	rep4	0	13.636
mixed-serial	rep5	0	13.600
mixed-serial	rep6	0	13.530
mixed-serial	rep7	0	13.570
mixed-mtp	warmup1	0	11.471
mixed-mtp	rep1	0	11.541
mixed-mtp	rep2	0	11.585
mixed-mtp	rep3	0	11.527
mixed-mtp	rep4	0	11.485
mixed-mtp	rep5	0	11.451
mixed-mtp	rep6	0	11.500
mixed-mtp	rep7	0	11.523
uniform-serial	warmup1	0	9.552
uniform-serial	rep1	0	9.582
uniform-serial	rep2	0	9.579
uniform-serial	rep3	0	9.598
uniform-serial	rep4	0	9.619
uniform-serial	rep5	0	9.570
uniform-serial	rep6	0	9.574
uniform-serial	rep7	0	9.587
uniform-mtp	warmup1	0	8.423
uniform-mtp	rep1	0	8.442
uniform-mtp	rep2	0	8.446
uniform-mtp	rep3	0	8.454
uniform-mtp	rep4	0	8.395
uniform-mtp	rep5	0	8.491
uniform-mtp	rep6	0	8.428
uniform-mtp	rep7	0	8.407
